Genus,IDs_x,IDs_y
Diaphorobacter,"['1033473188', '998614251', '984880562', '914241907', '355390180', '304656969', '77416107', '77416069', '77415916', '77415891', '77415841', '77415811', '77415809', '77415808', '4210613']","['1033473188', '998614251', '984880562', '914241907', '355390180', '304656969', '77416107', '77416069', '77415916', '77415891', '77415841', '77415811', '77415809', '77415808', '4210613']"
Dietzia,"['1962354083', '1962353890', '1798183351', '1521583949', '1521583302', '1215531071', '1190331580', '1172923387', '1133639367', '1133639354', '1133639349', '1133639336', '1041787995', '1041787994', '1033474749', '1033473337', '1020158782', '1020158781', '1020158680', '1020158677']","['1962354083', '1962353890', '1798183351', '1521583949', '1521583302', '1215531071', '1190331580', '1172923387', '1133639367', '1133639354', '1133639349', '1133639336', '1041787995', '1041787994', '1033474749', '1033473337', '1020158782', '1020158781', '1020158680', '1020158677']"
Dinoroseobacter,"['998613562', '998610327', '298286267', '27263110', '27263120', '27263119', '27263117', '27263116', '27263112', '27263115']","['998613562', '998610327', '298286267', '27263110', '27263120', '27263119', '27263117', '27263116', '27263112', '27263115']"
Dokdonella,"['1985646849', '1985645348', '1985644890', '1985643399', '1962359455', '1219550868', '1219550827', '1206270124', '1033473073', '998613009', '449714031', '449714027', '409101783', '71979676', '110238619']","['1985646849', '1985645348', '1985644890', '1985643399', '1962359455', '1219550868', '1219550827', '1206270124', '1033473073', '998613009', '449714031', '449714027', '409101783', '71979676', '110238619']"
Dolosigranulum,"['1041787880', '225936817', '261390572', '261390569', '261390544']","['1041787880', '225936817', '261390572', '261390569', '261390544']"
Dongia,"['2156558454', '1985648358', '1985647976', '1985646328', '1985643158', '1962354469', '1206269925', '1206269750', '1206269728', '1206269516', '1079705842', '984880413', '954166305', '697264530', '697264499', '697264480', '697264453', '697264053', '697264051']","['2156558454', '1985648358', '1985647976', '1985646328', '1985643158', '1962354469', '1206269925', '1206269750', '1206269728', '1206269516', '1079705842', '984880413', '954166305', '697264530', '697264499', '697264480', '697264453', '697264053', '697264051']"
Dorea,"['2318644152', '2318644081', '2318643674', '2318642685', '2318642402', '2318642183', '2318641765', '2318641654', '2318641267', '2318641037', '2318641035', '2318641021', '2318640659', '2318640145', '2318638948', '2318638830', '2318638600', '2318637941', '2318637036', '2318636705']","['2318644152', '2318644081', '2318643674', '2318642685', '2318642402', '2318642183', '2318641765', '2318641654', '2318641267', '2318641037', '2318641035', '2318641021', '2318640659', '2318640145', '2318638948', '2318638830', '2318638600', '2318637941', '2318637036', '2318636705']"
Duganella,"['1985646271', '974983564', '332164653', '300116692', '930697309', '930697296', '930697217', '930697106', '918399459', '822603197', '683508996', '683402517', '557675854', '525472685', '225632709', '225632708', '225632707', '426263236', '385145341', '384080300']","['1985646271', '974983564', '332164653', '300116692', '930697309', '930697296', '930697217', '930697106', '918399459', '822603197', '683508996', '683402517', '557675854', '525472685', '225632709', '225632708', '225632707', '426263236', '385145341', '384080300']"
Dyadobacter,"['1635510581', '1635510578', '1635510577', '1985647880', '1985647865', '1985647757', '1985647656', '1985647042', '1985646676', '1985645707', '1985645149', '1985644670', '1985643977', '1962354356', '1674370599', '1041793243', '1033474528', '1033473774', '939460317', '672229523']","['1635510581', '1635510578', '1635510577', '1985647880', '1985647865', '1985647757', '1985647656', '1985647042', '1985646676', '1985645707', '1985645149', '1985644670', '1985643977', '1962354356', '1674370599', '1041793243', '1033474528', '1033473774', '939460317', '672229523']"
Dysgonomonas,"['2502727571', '1962353963', '1494842674', '1379009972', '1269612760', '1253209940', '1219553474', '1219553004', '1219553001', '1219552999', '1219552998', '1219552997', '1219552985', '1219552939', '1219552933', '1219552929', '1219552924', '1219552922', '1219552921', '1219552920']","['2502727571', '1962353963', '1494842674', '1379009972', '1269612760', '1253209940', '1219553474', '1219553004', '1219553001', '1219552999', '1219552998', '1219552997', '1219552985', '1219552939', '1219552933', '1219552929', '1219552924', '1219552922', '1219552921', '1219552920']"
Ectothiorhodospiraceae bacterium,[],[]
Edaphobacter,"['1985647571', '984880397', '984880383']","['1985647571', '984880397', '984880383']"
Effusibacillus,"['358030538', '115333995', '115333994', '115333993', '47601275']","['358030538', '115333995', '115333994', '115333993', '47601275']"
Elstera,['817250429'],['817250429']
Endobacter,[],[]
Enhydrobacter,"['1985648415', '1769932948', '1674370585', '1269619631', '1190331941', '1139291158', '1139288687', '1139278025', '1139271653', '1139271637', '1139271620', '1139271617', '1139271586', '1139266555', '1139266532', '1139264813', '1139264791', '1139264776', '1139264773', '1103332318']","['1985648415', '1769932948', '1674370585', '1269619631', '1190331941', '1139291158', '1139288687', '1139278025', '1139271653', '1139271637', '1139271620', '1139271617', '1139271586', '1139266555', '1139266532', '1139264813', '1139264791', '1139264776', '1139264773', '1103332318']"
Ensifer,"['328795177', '328795166', '328795153', '328795099', '1691059609', '1614056600', '1399392228', '1104676985', '1104676984', '1104676980', '1104676977', '1104676973', '1104676972', '1104676969', '1104676966', '1104676962', '1104676961', '1104676958', '1104676955', '1104676953']","['328795177', '328795166', '328795153', '328795099', '1691059609', '1614056600', '1399392228', '1104676985', '1104676984', '1104676980', '1104676977', '1104676973', '1104676972', '1104676969', '1104676966', '1104676962', '1104676961', '1104676958', '1104676955', '1104676953']"
Enteractinococcus,[],[]
Enterobacter,"['2278607946', '2265463972', '1997760201', '1997760183', '1997760172', '1877246650', '1877246649', '1877246648', '1877246647', '1877246646', '1877246637', '1877246629', '1877246627', '1877246619', '1877246618', '1877246617', '1877246609', '1877246606', '1877246596', '1877246595']","['2278607946', '2265463972', '1997760201', '1997760183', '1997760172', '1877246650', '1877246649', '1877246648', '1877246647', '1877246646', '1877246637', '1877246629', '1877246627', '1877246619', '1877246618', '1877246617', '1877246609', '1877246606', '1877246596', '1877246595']"
Enterococcus,"['2318611627', '2278607947', '2265464003', '2055419551', '1997760206', '1990475857', '1868669467', '1827495003', '1827495000', '1827494998', '1827494997', '1827494993', '1827494984', '1827494913', '1827494902', '1827494899', '1795735086', '1773404721', '1635510585', '1635510584']","['2318611627', '2278607947', '2265464003', '2055419551', '1997760206', '1990475857', '1868669467', '1827495003', '1827495000', '1827494998', '1827494997', '1827494993', '1827494984', '1827494913', '1827494902', '1827494899', '1795735086', '1773404721', '1635510585', '1635510584']"
Enterorhabdus,"['1269613268', '1079701578']","['1269613268', '1079701578']"
Eremococcus,['6453334'],['6453334']
Erwinia,"['2278607950', '1877246535', '1877246565', '1877246564', '1877246562', '1877246559', '1877246557', '1877246556', '1877246554', '1877246549', '1877246548', '1877246543', '1877246542', '1877246539', '1877246538', '1877246534', '1877246533', '1877246531', '1877246529', '1877246528']","['2278607950', '1877246535', '1877246565', '1877246564', '1877246562', '1877246559', '1877246557', '1877246556', '1877246554', '1877246549', '1877246548', '1877246543', '1877246542', '1877246539', '1877246538', '1877246534', '1877246533', '1877246531', '1877246529', '1877246528']"
Erysipelothrix,"['1328372516', '1041792032', '1041792031', '1041792030', '31744956']","['1328372516', '1041792032', '1041792031', '1041792030', '31744956']"
Erythrobacter,"['1985644869', '1985644609', '1985642993', '1962359194', '1962359068', '1962354453', '1962353847', '311690797', '311690770', '311690764', '311690763', '311690760', '311690755', '311690754', '311690731', '612149158', '1417735397', '1417735396', '1417735395', '1417735394']","['1985644869', '1985644609', '1985642993', '1962359194', '1962359068', '1962354453', '1962353847', '311690797', '311690770', '311690764', '311690763', '311690760', '311690755', '311690754', '311690731', '612149158', '1417735397', '1417735396', '1417735395', '1417735394']"
Escherichia-Shigella,[],[]
Eubacteriaceae bacterium,['1269612851'],['1269612851']
Eubacterium brachy group,[],[]
Eubacterium coprostanoligenes group,[],[]
Extensimonas,[],[]
Ezakiella,"['2318632394', '2318614150', '2318611478', '2278607955', '1032798196', '440576590']","['2318632394', '2318614150', '2318611478', '2278607955', '1032798196', '440576590']"
Faecalibacterium,"['2318645721', '2318645604', '2318645404', '2318645375', '2318645347', '2318645317', '2318645288', '2318644137', '2318644110', '2318644096', '2318644050', '2318643964', '2318643963', '2318643907', '2318643792', '2318643763', '2318643589', '2318643531', '2318643261', '2318643246']","['2318645721', '2318645604', '2318645404', '2318645375', '2318645347', '2318645317', '2318645288', '2318644137', '2318644110', '2318644096', '2318644050', '2318643964', '2318643963', '2318643907', '2318643792', '2318643763', '2318643589', '2318643531', '2318643261', '2318643246']"
Family XIII UCG-002,[],[]
Fastidiosipila,"['1079707036', '1079707034', '1079706874', '1079706818', '1079706610', '1079706558', '1079706538', '1079706385', '1079706283', '1079706270', '1079706254', '1079706245', '1079706238', '1079706215', '1079706209', '1079706090', '1079706069', '1079706027', '61845225']","['1079707036', '1079707034', '1079706874', '1079706818', '1079706610', '1079706558', '1079706538', '1079706385', '1079706283', '1079706270', '1079706254', '1079706245', '1079706238', '1079706215', '1079706209', '1079706090', '1079706069', '1079706027', '61845225']"
Ferribacterium,"['192806395', '192806369', '192804567', '192804537', '61657621', '61657620', '61657618', '4071068']","['192806395', '192806369', '192804567', '192804537', '61657621', '61657620', '61657618', '4071068']"
Ferriphaselus,[],[]
Ferritrophicum,[],[]
Ferrovibrio,[],[]
Ferruginibacter,"['1985647801', '1985647796', '1985647506', '1985647494', '1985646864', '1985646699', '1985646265', '1985646224', '1985646213', '1985646205', '1985645655', '1985645273', '1985645135', '1985644997', '1985644625', '1985644203', '1985644089', '1985644049', '1985643947', '1985643807']","['1985647801', '1985647796', '1985647506', '1985647494', '1985646864', '1985646699', '1985646265', '1985646224', '1985646213', '1985646205', '1985645655', '1985645273', '1985645135', '1985644997', '1985644625', '1985644203', '1985644089', '1985644049', '1985643947', '1985643807']"
Filifactor,"['1962356427', '1139290425', '1139288443', '1139288403', '1139288398', '1139282521', '1139282516', '1139282514', '1139282503', '1139282497', '1139282484', '1139282468', '1139282460', '1139281890', '1139281858', '1139281259', '1139280820', '1139280817', '1139279607', '1139279600']","['1962356427', '1139290425', '1139288443', '1139288403', '1139288398', '1139282521', '1139282516', '1139282514', '1139282503', '1139282497', '1139282484', '1139282468', '1139282460', '1139281890', '1139281858', '1139281259', '1139280820', '1139280817', '1139279607', '1139279600']"
Finegoldia,"['2318611281', '2278607965', '1962354645', '1139291108', '1139291106', '1139291101', '1139291088', '1139291085', '1139291069', '1139291061', '1139291040', '1139291029', '1139291028', '1139291021', '1139289160', '1139289139', '1139288294', '1139288292', '1139288261', '1139288257']","['2318611281', '2278607965', '1962354645', '1139291108', '1139291106', '1139291101', '1139291088', '1139291085', '1139291069', '1139291061', '1139291040', '1139291029', '1139291028', '1139291021', '1139289160', '1139289139', '1139288294', '1139288292', '1139288261', '1139288257']"
Flavisolibacter,"['1985646796', '1985646177', '1985646088', '1985646045', '1985645924', '1985645887', '1985645748', '1985645540', '1985645420', '1985645416', '1985645396', '1985644863', '1985644508', '1985644443', '1985644413', '1985644248', '1985644190', '1985644036', '1985643753', '1985643704']","['1985646796', '1985646177', '1985646088', '1985646045', '1985645924', '1985645887', '1985645748', '1985645540', '1985645420', '1985645416', '1985645396', '1985644863', '1985644508', '1985644443', '1985644413', '1985644248', '1985644190', '1985644036', '1985643753', '1985643704']"
